Date,Open,High,Low,Close,Adj Close,Volume
01-12-2000,15.8125,16.625,15.25,15.4375,15.4375,8112500
04-12-2000,15.875,16,15.125,15.375,15.375,6153000
05-12-2000,15.5,16.5,15.5,15.75,15.75,8882900
06-12-2000,16.1875,16.25,14.3125,14.4375,14.4375,9786600
07-12-2000,14.5625,14.9375,14.25,14.5,14.5,5020800
08-12-2000,15.25,16.25,15,16.0625,16.0625,8058400
11-12-2000,16.25,17.4375,16.0625,17.3125,17.3125,7621600
12-12-2000,17.5,18.1875,17.125,17.25,17.25,10251800
13-12-2000,17.875,17.875,16.5625,16.75,16.75,7575900
14-12-2000,16.75,17.3125,16.5,16.5,16.5,3210800
15-12-2000,16.3125,16.5625,15.5,16.1875,16.1875,3945700
18-12-2000,16,16.125,15,15.25,15.25,4327800
19-12-2000,15.4375,16.625,15.3125,15.375,15.375,7509500
20-12-2000,15.125,15.375,14.25,14.5625,14.5625,5458700
21-12-2000,14.3125,14.6875,13.5625,13.6875,13.6875,6156000
22-12-2000,14,14.625,13.9375,14.3125,14.3125,4452100
26-12-2000,14.625,14.8125,13.875,14.125,14.125,3253000
27-12-2000,14.125,14.75,13.875,14.625,14.625,5042200
28-12-2000,14.5,14.6875,14.0625,14.3125,14.3125,4696400
29-12-2000,14.3125,14.5,13.8125,13.8125,13.8125,6342700
02-01-2001,14.125,14.75,14.125,14.375,14.375,4863600
03-01-2001,14.5,16.375,14.4375,16.25,16.25,8808100
04-01-2001,16.125,17.375,15.75,16.6875,16.6875,7045000
05-01-2001,17.1875,17.1875,15.6875,16,16,5230600
08-01-2001,15.9375,16.25,15.4375,16.1875,16.1875,3365700
09-01-2001,16.8125,17,16.25,16.75,16.75,3383600
10-01-2001,16.5,17.25,15.9375,17.125,17.125,5294200
11-01-2001,16.875,19,16.625,18.1875,18.1875,9084700
12-01-2001,18.125,18.75,17.375,17.8125,17.8125,5732400
16-01-2001,17.8125,17.8125,16.875,17.125,17.125,4207500
06-03-2001,24,25.51,24,24.75,24.75,8921200
07-03-2001,24.9,25.1,24.1,25.1,25.1,5612600
08-03-2001,25.049999,26.049999,24.6,26,26,5970500
09-03-2001,24.5,24.5,23.07,23.299999,23.299999,11057500
12-03-2001,22.75,23.940001,22.200001,22.73,22.73,7026500
13-03-2001,23.450001,23.790001,22.15,23.780001,23.780001,7067100
14-03-2001,22.5,24.450001,22.26,23.940001,23.940001,6796800
15-03-2001,24.700001,24.940001,23.25,23.559999,23.559999,4557300
16-03-2001,23.549999,23.99,23.26,23.4,23.4,5006500
19-03-2001,23.5,23.75,22.190001,23.73,23.73,7116400
20-03-2001,23.6,24.35,22.200001,22.43,22.43,5495900
21-03-2001,22,24,21.950001,23.290001,23.290001,5838900
22-03-2001,24.049999,26.5,24.040001,26.450001,26.450001,11878900
23-03-2001,27.08,29.709999,26.5,29.440001,29.440001,20067200
26-03-2001,29.5,29.549999,28.18,28.74,28.74,9714700
27-03-2001,28.27,30.15,28.26,29.690001,29.690001,9646600
28-03-2001,29,29.51,27.15,27.700001,27.700001,9205600
29-03-2001,27.25,28.6,26.99,28.299999,28.299999,8584000
30-03-2001,28.15,28.15,26.5,26.540001,26.540001,9636100
02-04-2001,26.700001,27.860001,24.76,25.5,25.5,9392500
03-04-2001,24.75,25.1,22.98,23.68,23.68,12680300
04-04-2001,23.5,23.51,20.190001,20.74,20.74,17071500
05-04-2001,22,23.75,21.5,23.02,23.02,11699300
06-04-2001,22.799999,22.799999,20.049999,20.049999,20.049999,12273800
09-04-2001,20.299999,20.889999,18.73,19.700001,19.700001,11222300
10-04-2001,20,21.77,19.6,21.32,21.32,9575000
11-04-2001,26,26,23.200001,23.51,23.51,15052500
12-04-2001,23.299999,25,22.48,24.85,24.85,8106300
16-04-2001,23.85,23.889999,22.780001,23.5,23.5,6707600
17-04-2001,23,24.040001,22.209999,23,23,7502200
30-05-2001,29.200001,29.200001,27.5,27.950001,27.950001,9180800
31-05-2001,27.950001,28.75,27.91,28.25,28.25,7217700
01-06-2001,29,29.6,27.969999,29.6,29.6,5925300
04-06-2001,29.549999,29.549999,27.52,27.610001,27.610001,7897400
05-06-2001,28.1,29.469999,28.1,28.9,28.9,7838100
06-06-2001,29.25,29.6,28.01,28.370001,28.370001,7556400
07-06-2001,28.6,31.1,28.52,30.280001,30.280001,10903700
08-06-2001,30.9,31.790001,30.1,31.1,31.1,9639800
11-06-2001,31.1,31.1,29.08,30.049999,30.049999,5982200
12-06-2001,29.049999,30.299999,28.530001,29.67,29.67,6348200
13-06-2001,29.75,30.459999,28.9,29.280001,29.280001,4284000
14-06-2001,28.08,29.280001,27.23,27.440001,27.440001,5932600
15-06-2001,27.049999,28.1,26.5,27.559999,27.559999,6735800
18-06-2001,27.5,28.049999,26.15,26.4,26.4,5887800
19-06-2001,27.5,27.75,24.379999,24.99,24.99,11304400
20-06-2001,24,25.1,23.559999,23.950001,23.950001,11126200
21-06-2001,24.049999,24.59,23.620001,24.48,24.48,7173400
22-06-2001,24.65,25.85,24.200001,24.67,24.67,4866500
25-06-2001,25.950001,25.950001,24.709999,25.290001,25.290001,3415600
26-06-2001,25.15,26.4,24.83,26.15,26.15,4906200
27-06-2001,25.9,27.059999,25.549999,26.5,26.5,5611500
28-06-2001,26.950001,28.6,26.940001,27.43,27.43,4919400
29-06-2001,27.43,30.1,27.43,28.9,28.9,11227700
02-07-2001,29.049999,30,28.639999,29.74,29.74,5074400
03-07-2001,29.1,30.200001,28.860001,29.76,29.76,3284300
05-07-2001,29.25,29.26,28.5,28.639999,28.639999,7030700
06-07-2001,23.5,23.9,20.799999,20.799999,20.799999,26133700
09-07-2001,20.870001,21.459999,20.120001,21.200001,21.200001,13000600
10-07-2001,21.5,21.73,20.790001,21,21,7220200
11-07-2001,20.99,21.200001,20.200001,21.120001,21.120001,7457900
29-08-2001,15.23,15.24,14.01,14.2,14.2,6311800
30-08-2001,14,14.01,13,13.29,13.29,7921700
31-08-2001,13.19,13.58,13,13.55,13.55,3493000
04-09-2001,13.17,13.4,12.85,12.95,12.95,5627000
05-09-2001,12.75,13.1,11.7,12.05,12.05,9138500
06-09-2001,12.06,12.25,11.23,11.4,11.4,8685700
07-09-2001,11.6,12,11.1,11.5,11.5,6778400
10-09-2001,11.5,12.01,11.45,11.85,11.85,5168900
17-09-2001,10.25,11.2,10.05,10.14,10.14,8475000
18-09-2001,10.24,10.4,9.5,9.5,9.5,5639500
19-09-2001,9.85,9.85,8.4,9.11,9.11,8096900
20-09-2001,9.05,9.3,8.5,8.99,8.99,6874800
