Date,Open,High,Low,Close,Adj Close,Volume
12-06-2018,15.84,15.95,15.43,15.85,15.85,67002600
13-06-2018,15.81,16.52,15.78,16.32,16.32,90227300
14-06-2018,16.620001,16.790001,15.58,16.25,16.25,113048600
15-06-2018,16.059999,16.52,15.82,16.34,16.34,77612200
18-06-2018,16.18,17.34,16.129999,17.110001,17.110001,104317400
19-06-2018,16.85,17.290001,16.309999,16.690001,16.690001,92542900
20-06-2018,16.83,17.129999,16.370001,16.52,16.52,76280600
21-06-2018,16.65,16.870001,15.46,15.65,15.65,95638400
22-06-2018,15.78,15.91,15.56,15.8,15.8,59257100
25-06-2018,15.64,15.74,14.54,15.11,15.11,94418400
26-06-2018,15.32,15.6,15.1,15.5,15.5,54213500
27-06-2018,15.65,15.76,14.96,14.97,14.97,56014300
28-06-2018,14.85,15.36,14.75,15.31,15.31,48716800
29-06-2018,15.41,15.49,14.98,14.99,14.99,41527800
02-07-2018,14.8,15.18,14.74,15.16,15.16,43398800
03-07-2018,15.21,15.34,14.96,15.0,15.0,32094000
05-07-2018,15.13,15.5,15.02,15.5,15.5,40703300
06-07-2018,15.52,16.389999,15.48,16.360001,16.360001,65101700
09-07-2018,16.73,16.84,16.17,16.610001,16.610001,58525500
10-07-2018,16.59,16.65,16.309999,16.549999,16.549999,37093000
11-07-2018,16.15,16.530001,16.02,16.27,16.27,42544100
12-07-2018,16.41,16.790001,16.379999,16.559999,16.559999,44188100
13-07-2018,16.68,16.690001,16.219999,16.27,16.27,40614100
16-07-2018,16.42,17.0,16.41,16.58,16.58,65275300
17-07-2018,16.5,16.879999,16.48,16.870001,16.870001,42313500
18-07-2018,16.940001,16.99,16.549999,16.85,16.85,40881500
19-07-2018,16.709999,16.879999,16.549999,16.709999,16.709999,41267800
20-07-2018,16.66,16.879999,16.440001,16.5,16.5,42879800
23-07-2018,16.469999,16.68,15.9,16.66,16.66,44940800
24-07-2018,16.75,16.860001,16.110001,16.190001,16.190001,58201500
